,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
355,C9orf66,9.5,17.3,4.8,13.4,6.4
356,C9orf66,3.9,8.3,5.5,4.3,4.3
357,HDAC9,27.1,45.7,9.5,43.9,60.0
358,HDAC9,1.4,4.1,1.6,1.9,3.3
359,SLC16A11,41.3,163.8,97.6,70.5,107.5
360,TMEM67,19.9,1.5,7.5,14.4,46.6
361,TMEM67,10.8,31.0,55.7,3.7,67.7
362,HS6ST2,22.2,48.4,23.2,54.8,35.2
363,HS6ST2,101.1,178.0,217.2,358.9,180.7
364,CAMKK1,17.0,81.7,15.9,78.0,44.6
365,ZNF625,100.6,107.9,126.0,143.4,83.5
366,ZNF563,79.8,219.1,260.3,103.0,117.7
367,LIN9,4.9,1.9,9.1,7.7,4.2
368,CLEC4D,43.4,69.3,10.4,31.9,45.6
369,CLEC4D,61.7,59.2,22.7,39.5,37.3
370,SLC25A27,82.8,64.2,77.2,131.5,74.4
371,GPRC6A,14.0,10.5,11.2,8.4,6.1
372,RAET1E,7.6,42.3,10.2,4.7,21.7
373,SLC44A5,50.7,39.7,57.9,7.8,24.0
374,SLC44A5,16.6,1.7,38.0,35.5,24.5
375,ZNF417,55.6,30.1,51.4,34.2,25.8
376,ZNF781,60.1,96.9,106.7,114.1,112.1
377,HELB,94.2,114.8,128.6,109.6,142.7
378,HELB,44.2,105.6,64.0,73.2,87.1
379,SEC62,67.0,73.0,52.9,12.0,44.5
380,SEC62,242.9,379.7,423.4,190.9,297.1
381,TRDN,22.6,13.3,39.1,26.7,26.1
382,SOCS4,215.7,141.4,257.6,144.4,199.6
383,C8orf31,9.5,61.5,93.0,62.2,15.9
384,ZNF547,111.0,107.0,134.1,59.2,121.5
385,SIM1,59.4,98.8,33.6,9.3,71.4
386,PROM2,1008.8,1911.3,1579.8,862.6,765.0
387,TLR4,39.0,13.1,11.1,5.6,7.7
388,TSNARE1,23.5,27.6,13.5,7.2,17.6
389,ABHD11,69.8,45.9,33.5,27.7,103.0
390,CAPN13,10.8,12.8,9.3,14.7,27.8
391,STMN1,15.1,8.8,22.8,10.4,5.7
392,TIRAP,76.9,169.1,72.1,149.9,210.2
393,SIGLEC10,9.4,4.3,8.2,55.0,3.3
394,SIGLEC10,23.7,139.0,21.8,108.4,7.9
395,ADAMTSL1,5.0,31.5,3.8,7.0,10.2
396,RFX4,8.9,15.6,39.3,5.1,10.4
397,WFIKKN1,59.7,58.0,34.6,25.1,10.0
398,SENP1,291.5,238.4,269.0,249.6,335.1
399,KLF14,10.0,6.1,46.2,11.3,6.5
400,KLF14,9.3,17.2,17.2,42.5,45.6
401,NXNL2,63.9,54.4,57.3,11.5,36.2
402,BRS3,5.1,2.3,7.5,2.2,4.0
403,LINC00205 /// LOC102723489 /// LOC102725097,12.3,24.9,5.7,92.2,42.3
404,TMX3,42.3,11.5,49.1,17.1,41.8
405,ZNF396,46.7,59.9,84.7,99.5,64.7
406,SLC26A7,22.5,0.8,2.5,5.3,15.6
407,SLC26A7,31.7,84.7,20.2,28.8,53.8
408,SNX18,42.4,71.3,45.6,27.5,4.3
409,,89.3,131.0,89.7,121.1,99.3
410,FBXO39,43.3,59.4,56.8,95.2,10.2
411,B3GNT6,10.5,6.2,17.7,30.3,17.3
412,B3GNT6,22.0,63.6,46.0,61.7,11.6
413,DENND1B,35.5,41.8,36.4,58.2,61.2
414,ZNF619,46.1,26.0,134.9,27.8,47.6
415,ICK,1.7,16.3,21.7,23.3,2.7
416,FAM71D,54.7,51.9,19.8,53.4,50.7
417,BCL2L14,26.7,1.6,4.2,3.9,18.4
418,HS6ST3,74.2,8.1,21.0,32.7,60.2
419,SLC26A1,9.3,5.7,12.7,11.6,31.5
420,CLDN15,100.4,229.9,114.5,188.4,161.0
421,RAB42,26.7,68.2,73.4,153.9,105.3
422,PTCHD1,12.3,39.5,11.2,10.0,25.4
423,M1AP,6.0,3.1,1.6,3.3,6.9
424,ZSCAN4,13.9,37.4,33.4,1.1,9.5
425,ZSCAN4,27.5,81.5,27.6,57.1,21.5
426,VWA5B1,18.7,31.8,14.8,24.4,59.1
427,VWA5B1,6.6,5.9,12.9,4.8,3.0
428,LINC00311,44.9,53.8,15.5,79.1,17.8
429,HTR6,59.4,25.8,5.5,68.3,3.5
430,MAGEB6,16.0,34.4,72.7,10.0,26.7
431,LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2,58.3,7.1,61.1,25.5,10.8
432,RUSC1-AS1,174.5,149.9,69.6,136.1,163.0
433,CACNG6,278.8,265.6,467.6,373.4,243.3
434,LMNTD1,87.4,61.5,114.0,66.6,19.7
