,gene,binary,count,dataset,binarization,impu
284,umuD,1,8,ecoli_data,{Onestep},og_bin
285,uvrA,?,2,ecoli_data,{Onestep},og_bin
286,uvrA,0,41,ecoli_data,{Onestep},og_bin
287,uvrA,1,6,ecoli_data,{Onestep},og_bin
288,uvrD,?,13,ecoli_data,{Onestep},og_bin
289,uvrD,0,23,ecoli_data,{Onestep},og_bin
290,uvrD,1,13,ecoli_data,{Onestep},og_bin
291,lexA,0,44,ecoli_data,{Onestep},bin_onlyMissForest
292,lexA,1,5,ecoli_data,{Onestep},bin_onlyMissForest
293,polB,0,29,ecoli_data,{Onestep},bin_onlyMissForest
294,polB,1,20,ecoli_data,{Onestep},bin_onlyMissForest
295,recA,0,43,ecoli_data,{Onestep},bin_onlyMissForest
296,recA,1,6,ecoli_data,{Onestep},bin_onlyMissForest
297,umuD,0,41,ecoli_data,{Onestep},bin_onlyMissForest
298,umuD,1,8,ecoli_data,{Onestep},bin_onlyMissForest
299,uvrA,0,43,ecoli_data,{Onestep},bin_onlyMissForest
300,uvrA,1,6,ecoli_data,{Onestep},bin_onlyMissForest
301,uvrD,0,36,ecoli_data,{Onestep},bin_onlyMissForest
302,uvrD,1,13,ecoli_data,{Onestep},bin_onlyMissForest
303,lexA,0,44,ecoli_data,{Onestep},bin_Prob_and_MissForest
304,lexA,1,5,ecoli_data,{Onestep},bin_Prob_and_MissForest
305,polB,0,29,ecoli_data,{Onestep},bin_Prob_and_MissForest
306,polB,1,20,ecoli_data,{Onestep},bin_Prob_and_MissForest
307,recA,0,43,ecoli_data,{Onestep},bin_Prob_and_MissForest
308,recA,1,6,ecoli_data,{Onestep},bin_Prob_and_MissForest
309,umuD,0,41,ecoli_data,{Onestep},bin_Prob_and_MissForest
310,umuD,1,8,ecoli_data,{Onestep},bin_Prob_and_MissForest
311,uvrA,0,43,ecoli_data,{Onestep},bin_Prob_and_MissForest
312,uvrA,1,6,ecoli_data,{Onestep},bin_Prob_and_MissForest
313,uvrD,0,36,ecoli_data,{Onestep},bin_Prob_and_MissForest
314,uvrD,1,13,ecoli_data,{Onestep},bin_Prob_and_MissForest
315,lexA,?,21,ecoli_data,"{BASC A, K-Means}",og_bin
316,lexA,0,22,ecoli_data,"{BASC A, K-Means}",og_bin
317,lexA,1,6,ecoli_data,"{BASC A, K-Means}",og_bin
318,polB,?,8,ecoli_data,"{BASC A, K-Means}",og_bin
319,polB,0,20,ecoli_data,"{BASC A, K-Means}",og_bin
320,polB,1,21,ecoli_data,"{BASC A, K-Means}",og_bin
321,recA,?,16,ecoli_data,"{BASC A, K-Means}",og_bin
322,recA,0,27,ecoli_data,"{BASC A, K-Means}",og_bin
323,recA,1,6,ecoli_data,"{BASC A, K-Means}",og_bin
324,umuD,?,15,ecoli_data,"{BASC A, K-Means}",og_bin
325,umuD,0,27,ecoli_data,"{BASC A, K-Means}",og_bin
326,umuD,1,7,ecoli_data,"{BASC A, K-Means}",og_bin
327,uvrA,?,35,ecoli_data,"{BASC A, K-Means}",og_bin
328,uvrA,0,8,ecoli_data,"{BASC A, K-Means}",og_bin
329,uvrA,1,6,ecoli_data,"{BASC A, K-Means}",og_bin
330,uvrD,?,22,ecoli_data,"{BASC A, K-Means}",og_bin
331,uvrD,0,15,ecoli_data,"{BASC A, K-Means}",og_bin
332,uvrD,1,12,ecoli_data,"{BASC A, K-Means}",og_bin
333,lexA,0,43,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
334,lexA,1,6,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
335,polB,0,20,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
336,polB,1,29,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
337,recA,0,43,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
338,recA,1,6,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
339,umuD,0,42,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
340,umuD,1,7,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
341,uvrA,0,43,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
342,uvrA,1,6,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
343,uvrD,0,37,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
344,uvrD,1,12,ecoli_data,"{BASC A, K-Means}",bin_onlyMissForest
345,lexA,0,43,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
346,lexA,1,6,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
347,polB,0,28,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
348,polB,1,21,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
349,recA,0,43,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
350,recA,1,6,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
351,umuD,0,42,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
352,umuD,1,7,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
353,uvrA,0,43,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
354,uvrA,1,6,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
355,uvrD,0,37,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
356,uvrD,1,12,ecoli_data,"{BASC A, K-Means}",bin_Prob_and_MissForest
357,lexA,?,22,ecoli_data,"{BASC A, Onestep}",og_bin
358,lexA,0,22,ecoli_data,"{BASC A, Onestep}",og_bin
359,lexA,1,5,ecoli_data,"{BASC A, Onestep}",og_bin
360,polB,?,9,ecoli_data,"{BASC A, Onestep}",og_bin
361,polB,0,20,ecoli_data,"{BASC A, Onestep}",og_bin
362,polB,1,20,ecoli_data,"{BASC A, Onestep}",og_bin
363,recA,?,16,ecoli_data,"{BASC A, Onestep}",og_bin
364,recA,0,27,ecoli_data,"{BASC A, Onestep}",og_bin
365,recA,1,6,ecoli_data,"{BASC A, Onestep}",og_bin
366,umuD,?,15,ecoli_data,"{BASC A, Onestep}",og_bin
367,umuD,0,27,ecoli_data,"{BASC A, Onestep}",og_bin
368,umuD,1,7,ecoli_data,"{BASC A, Onestep}",og_bin
369,uvrA,?,35,ecoli_data,"{BASC A, Onestep}",og_bin
370,uvrA,0,8,ecoli_data,"{BASC A, Onestep}",og_bin
371,uvrA,1,6,ecoli_data,"{BASC A, Onestep}",og_bin
372,uvrD,?,22,ecoli_data,"{BASC A, Onestep}",og_bin
373,uvrD,0,15,ecoli_data,"{BASC A, Onestep}",og_bin
374,uvrD,1,12,ecoli_data,"{BASC A, Onestep}",og_bin
375,lexA,0,44,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
376,lexA,1,5,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
377,polB,0,29,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
378,polB,1,20,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
379,recA,0,43,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
380,recA,1,6,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
381,umuD,0,42,ecoli_data,"{BASC A, Onestep}",bin_onlyMissForest
